Compound,Negative,Neutral,Positive,Tweet Date,Tweets Ago,User
0.3135,0.784,0.083,0.133,Mon Sep 17 22:26:41 +0000 2018,30,@CBSNews
-0.4939,0.556,0.444,0.0,Mon Sep 17 22:26:24 +0000 2018,31,@CBSNews
-0.128,0.927,0.073,0.0,Mon Sep 17 22:26:22 +0000 2018,32,@CBSNews
-0.6478,0.816,0.184,0.0,Mon Sep 17 22:26:22 +0000 2018,33,@CBSNews
-0.7351,0.53,0.47,0.0,Mon Sep 17 22:26:02 +0000 2018,34,@CBSNews
0.4939,0.842,0.0,0.158,Mon Sep 17 22:25:50 +0000 2018,35,@CBSNews
-0.5859,0.847,0.153,0.0,Mon Sep 17 22:25:48 +0000 2018,36,@CBSNews
-0.5859,0.847,0.153,0.0,Mon Sep 17 22:25:46 +0000 2018,37,@CBSNews
0.3612,0.894,0.0,0.106,Mon Sep 17 22:25:45 +0000 2018,38,@CBSNews
-0.6057,0.752,0.248,0.0,Mon Sep 17 22:25:45 +0000 2018,39,@CBSNews
0.4939,0.842,0.0,0.158,Mon Sep 17 22:25:41 +0000 2018,40,@CBSNews
0.3818,0.729,0.0,0.271,Mon Sep 17 22:25:40 +0000 2018,41,@CBSNews
-0.0516,0.697,0.156,0.148,Mon Sep 17 22:25:34 +0000 2018,42,@CBSNews
-0.431,0.591,0.238,0.17,Mon Sep 17 22:25:33 +0000 2018,43,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:25:32 +0000 2018,44,@CBSNews
0.7804,0.771,0.0,0.229,Mon Sep 17 22:25:29 +0000 2018,45,@CBSNews
-0.5574,0.805,0.195,0.0,Mon Sep 17 22:25:25 +0000 2018,46,@CBSNews
-0.431,0.591,0.238,0.17,Mon Sep 17 22:25:20 +0000 2018,47,@CBSNews
-0.8271,0.732,0.268,0.0,Mon Sep 17 22:25:13 +0000 2018,48,@CBSNews
0.1872,0.726,0.107,0.167,Mon Sep 17 22:25:05 +0000 2018,49,@CBSNews
-0.3182,0.839,0.161,0.0,Mon Sep 17 22:24:57 +0000 2018,50,@CBSNews
0.296,0.864,0.0,0.136,Mon Sep 17 22:24:50 +0000 2018,51,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:24:44 +0000 2018,52,@CBSNews
-0.128,0.927,0.073,0.0,Mon Sep 17 22:24:41 +0000 2018,53,@CBSNews
0.4438,0.636,0.111,0.253,Mon Sep 17 22:24:39 +0000 2018,54,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:24:37 +0000 2018,55,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:24:34 +0000 2018,56,@CBSNews
-0.8271,0.732,0.268,0.0,Mon Sep 17 22:24:27 +0000 2018,57,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:24:26 +0000 2018,58,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:24:16 +0000 2018,59,@CBSNews
0.4404,0.476,0.163,0.361,Mon Sep 17 22:24:13 +0000 2018,60,@CBSNews
0.4939,0.842,0.0,0.158,Mon Sep 17 22:24:12 +0000 2018,61,@CBSNews
-0.5994,0.811,0.189,0.0,Mon Sep 17 22:24:11 +0000 2018,62,@CBSNews
